_id	name	type	category	subcategory	derived_type	guessed_type
68109e5ececd66abf472800c	WHEY 100 TREC – 2KG		PROTÉINES	Protéine Whey	Powder	Powder
68109e5ececd66abf472800d	ISO WHEY ZERO 2KG		PROTÉINES	Isolat de Whey	Powder	Powder
68109e5ececd66abf472800e	CREATINE MONOHYDRATE 500G - V-SHAPE SUPPS		COMPLÉMENTS ALIMENTAIRES	Créatine	Powder	Powder
68109e5ececd66abf472800f	Tapis roulant professionnel - MND Fitness		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Équipement Cardio Fitness	Accessory	
68109e5ececd66abf4728010	Rameur professionnel - MND FITNESS		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Équipement Cardio Fitness	Accessory	
68109e5ececd66abf4728011	vélo à résistance magnétique MND FITNESS		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Équipement Cardio Fitness	Accessory	
68109e5ececd66abf4728012	Multi Degree Olympic Bench - MND FITNESS		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	
68109e5ececd66abf4728013	Layers Dumbbell Rack - MND FITNESS		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf4728014	Seated Preacher Curl - MND FITNESS		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf4728015	Multi-Functional Smith Machine - MND FITNESS		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf4728016	CREATINE MONOHYDRATE 500G - DR SUPPLEMENTS SPORTS		COMPLÉMENTS ALIMENTAIRES	Créatine	Powder	Powder
68109e5ececd66abf4728017	PULLDOWN MACHINE - MND FITNESS		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf4728018	TRACTION LONGUE MACHINE  - MND FITNESS		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf4728019	CHEST PRESSE INCLINEE MACHINE - MND FITNESS		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf472801a	FLAT BENCH - MND FITNESS		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	
68109e5ececd66abf472801b	MULTI REGLABLE BENCH- MND FITNESS		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	
68109e5ececd66abf472801c	Machine à câble d'entraînement fonctionnel		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf472801d	Leg Press Machine		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf472801e	Smith Machine		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf472801f	Rameur assis Machine		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf4728020	Poulie Machine		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf4728021	Machine d'extension des jambes		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf4728022	Machine à squat		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf4728023	Ring de Boxe		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Équipement Cardio Fitness	Accessory	
68109e5ececd66abf4728024	8 Station Multi Gym		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	
68109e5ececd66abf4728025	L-CARNITINE 2000 – 355ML		PERTE DE POIDS	L-Carnitine		
68109e5ececd66abf4728026	Rameur assis  musculation		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	
68109e5ececd66abf4728027	Presse de musculation base à terre, siège incliné		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf4728028	Presse épaules		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf4728029	Presse cuisse		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf472802a	Presse à biceps		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf472802b	Machine Poulie		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf472802c	Machine Presse de musculation base à terre, siège incliné		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf472802d	MASS XXL – 6KG		PRISE DE MASSE	Gainers Haute Énergie	Powder	Powder
68109e5ececd66abf472802e	Machine à rangées assise à chargement par plaques		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf472802f	Machine de flexion des biceps à chargement par plaques		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf4728030	Curl des jambes à genoux chargé par plaques		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf4728031	Pulldown large à chargement par plaques		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	
68109e5ececd66abf4728032	CREA PLUS - 300G - IHS		COMPLÉMENTS ALIMENTAIRES	Créatine	Powder	Powder
68109e5ececd66abf4728033	GOLD POWER CORE MULTIVITAMIN 120 tablets		COMPLÉMENTS ALIMENTAIRES	Vitamines	Capsule	Tablet
68109e5ececd66abf4728034	GOLD L-CARNITINE 3000  500ML		PERTE DE POIDS	L-Carnitine		
68109e5ececd66abf4728035	Machine à cuisses intérieure et extérieure sélective		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf4728036	Machine d'extension arrière sélective		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf4728037	Station de traction et de trempage sélective		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	
68109e5ececd66abf4728038	Machine à cuisses intérieure et extérieure sélective - jx fitness		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf4728039	Curl des jambes sujettes sélectionné		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf472803a	Machine à mouches / papillons Pec sélective		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf472803b	Machine de curl biceps sélective		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
